,Product Category,Parent Category
0,Coconut Water,Beverages
1,Rice Flour,Flours & Meals
2,Rosemary,Single Herbs & Spices
3,Puffed Snacks,Snack Foods
4,Chutneys,"Condiments, Pickles & Relishes"
5,Worcestershire Sauce,"Condiments, Pickles & Relishes"
6,Potato Side Dishes,Potatoes & Stuffings
7,Penne,Pasta
8,Bamboo,Live Indoor Plants
9,Grocery & Gourmet Food,
10,Baked,Beans
11,Soda Syrups,Beverages
12,Beans,"Dried Beans, Grains & Rice"
13,Sweet Pickles,Pickles
14,Potato,Chips & Crisps
15,Europe,World Music
16,Sauces Gifts,Gourmet Gifts
17,Bonsai,Live Indoor Plants
18,Soft Drinks,Beverages
19,Country,CDs & Vinyl
20,Jerky & Dried Meats,Snack Foods
21,Cookies,Snack Foods
22,Condensed,Condensed & Powdered Milk
23,Electronics,
24,Flours & Meals,Cooking & Baking
25,Breakfast Foods,Grocery & Gourmet Food
26,Classic R&B,R&B
27,Hot Cocoa,Beverages
28,Shortening,Lard & Shortening
29,Ginger,Single Herbs & Spices
30,Chili Sauce,Asian
31,"Condiments, Pickles & Relishes","Canned, Dry & Packaged Foods"
32,Diced,Tomatoes
33,"Cooking Oils, Vinegars & Sprays",Cooking & Baking
34,Miso Soups,"Soups, Stews & Chili"
35,Poultry Seasoning,Mixed Spices & Seasonings
36,Chewing Gum,Candy & Chocolate
37,Chrysanthemums,Fresh Cut Flowers
38,Marinara,Italian
39,Blue Cheese,Salad Dressings
40,Toffee,Candy & Chocolate
41,Grapeseed,Oils
42,Sesame Seed,Single Herbs & Spices
43,Mexican Seasoning,Mixed Spices & Seasonings
44,Mexican Dinner Kits,Packaged Meals & Side Dishes
45,Instant Coffee,Coffee
46,Single-Serve Cups,Coffee
47,Baby Formula,Baby Foods
48,Pecans,Nuts & Seeds
49,Fusilli,Pasta
50,Peanut,Oils
51,Gummy Candy,Candy & Chocolate
52,"Herbs, Spices & Seasonings","Canned, Dry & Packaged Foods"
53,Fajitas,Mexican Dinner Kits
54,Wheat,Crackers
55,Tortillas,Mexican Dinner Kits
56,Bow-Tie,Pasta
57,White Wine,Vinegars
58,Continental Europe,Europe
59,Unpopped,Popcorn
60,Oat Flour,Flours & Meals
61,Tomatoes,Vegetables
62,Baker's Yeast,Leaveners & Yeasts
63,Fruit Leather,Snack Foods
64,Fruits,"Fruits, Nuts & Snacks"
65,Applesauce & Fruit Cups,Snack Foods
