,category_key,product_key
5802,18415,1000001
5821,18415,1000002
5839,18494,1000003
5840,18683,1000003
5841,18415,1000003
5856,18415,1000004
5860,18415,1000005
5864,18415,1000006
5880,18415,1000007
5936,18415,1000008
6054,18415,1000009
6067,18515,1000010
6068,18672,1000010
6069,18547,1000010
6070,18415,1000010
6103,18415,1000011
6125,18415,1000012
6194,18415,1000013
6218,18415,1000014
6220,18415,1000015
6229,18920,1000016
6230,18830,1000016
6231,18683,1000016
6232,18415,1000016
6255,18426,1000017
6256,18890,1000017
6257,18415,1000017
6297,18415,1000018
6334,18415,1000019
6344,18415,1000020
6346,18415,1000021
6704,18415,1000022
6711,18415,1000023
6714,18415,1000024
6721,18415,1000025
6737,18415,1000026
6845,18415,1000027
7034,18415,1000028
7059,18423,1000029
7060,18839,1000029
7061,18868,1000029
7062,18415,1000029
7124,18415,1000030
7143,18415,1000031
7174,18415,1000032
7181,18415,1000033
7310,18415,1000034
7342,18415,1000035
7606,18415,1000036
7714,18415,1000037
7770,18415,1000038
7808,18415,1000039
7810,18415,1000040
7827,18415,1000041
7829,18415,1000042
7831,18415,1000043
7841,18415,1000044
7930,18415,1000045
7948,18415,1000046
7990,18415,1000047
8062,18415,1000048
8067,18415,1000049
8324,18415,1000050
8372,18415,1000051
8457,18415,1000052
8517,18415,1000053
8663,18415,1000054
8764,18415,1000055
8842,18415,1000056
8922,18415,1000057
8946,18415,1000058
8958,18869,1000059
8959,18559,1000059
8960,18458,1000059
8961,18900,1000059
8962,18415,1000059
8968,18675,1000060
8969,18879,1000060
8970,18547,1000060
8971,18415,1000060
8978,18840,1000061
8979,18786,1000061
8980,18439,1000061
8981,18683,1000061
8982,18415,1000061
8999,18559,1000062
9000,18458,1000062
9001,18900,1000062
9002,18415,1000062
9016,18879,1000063
9017,18547,1000063
9018,18415,1000063
9048,18812,1000064
9049,18535,1000064
9050,18683,1000064
9051,18415,1000064
9132,18871,1000065
9133,18879,1000065
9134,18547,1000065
9135,18415,1000065
9155,18779,1000066
9156,18870,1000066
9157,18683,1000066
9158,18415,1000066
9171,18415,1000067
9203,18415,1000068
9205,18415,1000069
9248,18415,1000070
9264,18415,1000071
9284,18415,1000072
9286,18415,1000073
9292,18415,1000074
9300,18415,1000075
9311,18415,1000076
9315,18415,1000077
9317,18415,1000078
9365,18415,1000079
9419,18415,1000080
9429,18415,1000081
9452,18415,1000082
9454,18415,1000083
9457,18415,1000084
9460,18415,1000085
9462,18415,1000086
9465,18415,1000087
9467,18415,1000088
9475,18415,1000089
9484,18415,1000090
9501,18897,1000091
9502,18870,1000091
9503,18683,1000091
9504,18415,1000091
9512,18415,1000092
9515,18415,1000093
9578,18415,1000094
9669,18415,1000095
9692,18415,1000096
9699,18415,1000097
9704,18415,1000098
9711,18415,1000099
9713,18415,1000100
9715,18415,1000101
9717,18415,1000102
9722,18415,1000103
9731,18415,1000104
9885,18415,1000105
9904,18415,1000106
9915,18415,1000107
9917,18415,1000108
9935,18415,1000109
9955,18415,1000110
10002,18415,1000111
10011,18415,1000112
10014,18415,1000113
10037,18415,1000114
10042,18415,1000115
10045,18415,1000116
10047,18415,1000117
10050,18415,1000118
10059,18415,1000119
10061,18415,1000120
10083,18415,1000121
10089,18415,1000122
10091,18415,1000123
10107,18415,1000124
10149,18415,1000125
10182,18415,1000126
10191,18415,1000127
10194,18415,1000128
10204,18415,1000129
10247,18415,1000130
10335,18843,1000131
10336,18672,1000131
10337,18547,1000131
10338,18415,1000131
10443,18415,1000132
10464,18415,1000133
10468,18415,1000134
10506,18415,1000135
10543,18415,1000136
10668,18415,1000137
10673,18415,1000138
10683,18415,1000139
10697,18897,1000140
10698,18870,1000140
10699,18683,1000140
10700,18415,1000140
10712,18762,1000141
10713,18559,1000141
10714,18458,1000141
10715,18900,1000141
10716,18415,1000141
10747,18415,1000142
10751,18415,1000143
10770,18415,1000144
10791,18415,1000145
10797,18415,1000146
10826,18415,1000147
10848,18415,1000148
10941,18415,1000149
11000,18415,1000150
11017,18415,1000151
11059,18415,1000152
11103,18415,1000153
11192,18415,1000154
11195,18415,1000155
11206,18415,1000156
11209,18415,1000157
11233,18415,1000158
11249,18415,1000159
11259,18415,1000160
11305,18875,1000161
11306,18830,1000161
11307,18683,1000161
11308,18415,1000161
11345,18415,1000162
11383,18415,1000163
11406,18415,1000164
11429,18415,1000165
11441,18415,1000166
11444,18415,1000167
11446,18415,1000168
11483,18415,1000169
11510,18415,1000170
11519,18415,1000171
11523,18415,1000172
11525,18415,1000173
11555,18840,1000174
11556,18786,1000174
11557,18439,1000174
11558,18683,1000174
11559,18415,1000174
11571,18415,1000175
11651,18591,1000176
11652,18774,1000176
11653,18683,1000176
11654,18415,1000176
11663,18415,1000177
11706,18415,1000178
11708,18415,1000179
12032,18415,1000180
12052,18415,1000181
12054,18694,1000182
12055,18559,1000182
12056,18458,1000182
12057,18900,1000182
12058,18415,1000182
12100,18871,1000183
12101,18879,1000183
12102,18547,1000183
12103,18415,1000183
12135,18415,1000184
12138,18415,1000185
12156,18415,1000186
12198,18415,1000187
12217,18415,1000188
12339,18810,1000189
12340,18874,1000189
12341,18458,1000189
12342,18900,1000189
12343,18415,1000189
12366,18415,1000190
12412,18415,1000191
12432,18415,1000192
12434,18415,1000193
12557,18415,1000194
12575,18662,1000195
12576,18751,1000195
12577,18683,1000195
12578,18415,1000195
12600,18415,1000196
12602,18415,1000197
12644,18415,1000198
12648,18415,1000199
12666,18415,1000200
12677,18415,1000201
12689,18415,1000202
12709,18415,1000203
12713,18415,1000204
12724,18415,1000205
12730,18415,1000206
12848,18415,1000207
12850,18415,1000208
12870,18415,1000209
12872,18415,1000210
12934,18415,1000211
12936,18415,1000212
12938,18415,1000213
12940,18415,1000214
12956,18415,1000215
12968,18415,1000216
12974,18415,1000217
13026,18415,1000218
13037,18415,1000219
13078,18415,1000220
13112,18415,1000221
13129,18415,1000222
13134,18415,1000223
13216,18415,1000224
13262,18881,1000225
13263,18743,1000225
13264,18900,1000225
13265,18415,1000225
13274,18415,1000226
13292,18415,1000227
13306,18415,1000228
13335,18415,1000229
13337,18415,1000230
13340,18415,1000231
13372,18415,1000232
13389,18415,1000233
13391,18415,1000234
13423,18415,1000235
13429,18415,1000236
13454,18415,1000237
13485,18415,1000238
13517,18415,1000239
13523,18415,1000240
13546,18415,1000241
13555,18415,1000242
13602,18415,1000243
13610,18415,1000244
13620,18415,1000245
13630,18415,1000246
13657,18415,1000247
13665,18415,1000248
13685,18415,1000249
13746,18415,1000250
13795,18415,1000251
13805,18415,1000252
13815,18415,1000253
13819,18415,1000254
13826,18415,1000255
13851,18415,1000256
13871,18415,1000257
13885,18415,1000258
13887,18415,1000259
13982,18415,1000260
14035,18415,1000261
14053,18415,1000262
14063,18415,1000263
14076,18415,1000264
14108,18415,1000265
14114,18415,1000266
14120,18639,1000267
14121,18774,1000267
14122,18683,1000267
14123,18415,1000267
14131,18415,1000268
14134,18415,1000269
14213,18415,1000270
14215,18415,1000271
14244,18415,1000272
14251,18415,1000273
14295,18415,1000274
14297,18415,1000275
14368,18415,1000276
14431,18415,1000277
14446,18415,1000278
14473,18415,1000279
14671,18415,1000280
14711,18415,1000281
14755,18415,1000282
14812,18415,1000283
14833,18415,1000284
14835,18897,1000285
14836,18870,1000285
14837,18683,1000285
14838,18415,1000285
14937,18415,1000286
14943,18415,1000287
14956,18415,1000288
15004,18415,1000289
15064,18415,1000290
15157,18415,1000291
15205,18415,1000292
15268,18415,1000293
