upc,asin,recall_number
085239202104,B007MEXS7E,2946
075820204082,B0041Q7GDI,2158
045000607033,B007DZGI9W,1970
620601400476,B00HRIDJL0,1149
855188003004,B00868Y8TM,1139
044000031947,B008QPAH40,926
858595000505,B00AX89ODS,1149
817582660090,B000UCOQV2,1052
621130061923,B003XB5LMU,1631
089836189561,B000VK4F00,72
089836185440,B000LKU8A6,72
078006000102,B0012690UC,99
691535521018,B001HTL5E8,882
073416005006,B0019LWITA,245
073472002568,B000LKYX48,913
855188003042,B00B05XYTI,1139
044823001226,B005ESSNUW,3104
691535525016,B003XN6Y3S,882
725999001103,B0002DI23C,2818
041313024338,B001HTJ2BQ,194
018627030003,B0007LXU0E,3004
691535521025,B001DGYKG0,882
075820152222,B00028QD2Y,2158
635992041207,B0000537KC,2910
852697001347,B0030VBQGS,2245
089836188434,B000WS042E,72
089836003522,B001VNGMDE,72
894991001104,B000UUWECC,1795
033079150734,B00CPJB9OA,1149
759283310398,B001COE2RU,2638
089836185068,B00CHTYN64,72
058449430230,B001HTGAQQ,2728
038000319211,B001V74HAK,1105
011594404013,B008QR77KU,2209
051651092357,B0000CEQD5,322
089836188410,B0052P1PBQ,72
852697001293,B0030VJ79Q,2245
691535453012,B003O36S9W,882
075820000004,B004M8DPQW,2158
041149011823,B00DPE21ZU,2169
094922166166,B0087ENBS4,1443
089836185365,B000LKZI2O,72
016073521236,B000F6SLM8,2820
033844005160,B003T07T7U,76
089836185341,B000WR8UDU,72
072396100008,B000H23Z1C,206
037000269366,B003D54TEW,2194
033844000028,B00451XODA,76
894697002030,B0067F1T48,1079
187058000043,B003HASJ6W,2183
089836188427,B009OAJ4UE,72
817582252006,B00BLZUP9E,284
071429095359,B003ZZ8BCG,2153
089836185372,B000LKZI1U,72
082011913357,B00495O7DS,1578
896439002094,B006U3BEEW,1720
089836001399,B005PGP2B6,2189
038000391095,B002DHOVPS,2087
720100604501,B004LEJ9YY,1764
180999000516,B00B1F3YLA,3048
018627030027,B0007LXU0Y,3004
058449891376,B001HTGAUM,2728
042272000852,B002HTOCRE,59
852697001286,B0030VBPN2,2245
852697001361,B0030VBQOK,2245
042272000548,B002HTMEPQ,59
894455000247,B004F4GH5E,1086
046567716428,B00832T6MA,1540
042272001026,B002HTMAXM,59
031493828888,B00B03WZIQ,1057
853152100612,B007WP3J8G,139
041664102150,B003BHA6PI,1829
086700060704,B001SAOB42,2805
074880070040,B008YAYWLQ,2169
879605400122,B00CK7SZN0,1237
029000010239,B001EQ4GOA,2606
033079150727,B00449CWMC,1149
089836187444,B00F99HMTE,72
013000028394,B00474CIGY,2428
089836028693,B001VNO3B2,72
021000774364,B005MYWWN2,71
692752105029,B00KRFLDR2,61
051651092326,B00060N592,322
813800148809,B000G1EO64,1586
029000011922,B003YCJE2Q,2606
075820000028,B005P0G0YU,2158
051651093699,B0046IIIS8,322
688267124099,B00F9C4P3W,1386
075820154103,B00028PVHW,2158
034325010130,B004YLD7LA,2592
075820000011,B000LKYXUC,2158
075820208066,B000Z8Z6W4,2158
089836157102,B001XWN3IA,72
895353000001,B00IDXROMS,1026
075820178048,B004UB6YLO,2158
075820000059,B001BKRC6S,2158
089836027801,B000UYC3CO,72
089836188403,B0052P1PPW,72
896439002100,B006U3ETB2,1720
034325010420,B004YLD7SS,2592
048001006812,B001E4Q5WI,1803
089836029263,B000UYC36U,72
085239718933,B009ORZGUE,2165
894455000254,B005M4AM5M,1086
085239803509,B0035HCRRY,2601
071092000698,B000H2998U,206
760519100287,B001HTE0J0,479
089836185358,B000LKXOKC,72
894455000490,B00555H0LC,730
089836185426,B000LKU874,72
072273003057,B000LL0R92,2166
089836188366,B009OAIWMA,72
859888000400,B0027YUN9K,145
021000023394,B0040HASFQ,1593
075820000035,B005P0XO26,2158
691535523012,B001HTN41A,882
038000318344,B00B044BNW,1105
896439002070,B006U2ZDAE,1720
894455000322,B006R7F0PU,730
692752105005,B00KRFLH8C,61
058449890096,B001EO5YCA,2728
852697001279,B0036ADF2G,2245
075820206161,B002LO5SFA,2158
051651060325,B0046IKGKQ,322
038000391033,B00DOR2AQ8,2087
021000658831,B000PXZZQG,71
094922015600,B0087ENBHU,1443
075820300302,B004NQWALO,2158
071988030044,B002ATEFMI,2681
627241720001,B005KDP4FI,821
751485416038,B00CA5S4K6,895
788267039031,B006R21JQE,2048
757645021708,B006R21JQE,1129
666016300307,B006JGHMX2,792
048687558292,B00CA5S4K6,1114
858595000192,B005KDP4FI,1149
048687122165,B006JGHMX2,1080
048687132102,B006JGHMX2,1080
071988030143,B002ATEFMI,2681
