,DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK,upc_processed_string,asin_string,upcs_string
0,"Fri, 01 May 2015 20:41:00 -0400","Sun Rich, Subway","Apple slices, apple slices with Dip, Sunshine Salad.",Listeria monocytogenes,Sun Rich Fresh Foods,http://www.fda.gov/Safety/Recalls/ucm445391.htm,http://www.fda.gov/Safety/Recalls/ucm445392.htm,"060243004647,;060243004586,;060243004531,;060243005088,;060243012932,;060243012963,;","UPCNOTFOUND,;B00TIYSSTE,;B00D4KXTAG,;B00BTGKHC0,;B00P150LIA,;B01785QBMU,;",060243004647;060243004586;060243004531;060243005088;060243012932;060243012963;
1,"Tue, 28 Apr 2015 00:00:00 -0400",Hy-Vee,Fresh Pasta Salad,Listeria monocytogenes,"Hy-Vee, Inc.",http://www.fda.gov/Safety/Recalls/ucm444946.htm,,,,
2,"Mon, 27 Apr 2015 17:32:00 -0400",Good Sense,Raw Pine Nuts,Salmonella,"Waymouth Farms, Inc.",http://www.fda.gov/Safety/Recalls/ucm444781.htm,http://www.fda.gov/Safety/Recalls/ucm444782.htm,"030243507998,730243507997,830243507994,630243507990,;030243866804,730243866803,830243866800,630243866806,;030243866811,730243866810,830243866817,630243866813,;030243866873,730243866872,830243866879,630243866875,;030243866835,730243866834,830243866831,630243866837,;030243028608,730243028607,830243028604,630243028600,;","B017LVMFRG,B00PSAAO08,B013FTOY9U,B000FKBYW8,;B00M8833Q0,UPCNOTFOUND,B00467CAL0,B00S045M9M,;UPCNOTFOUND,B00144HPL8,UPCNOTFOUND,UPCNOTFOUND,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,B00KQ2ZSUE,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,B000KKHTUY,;UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,UPCNOTFOUND,;",3024350799;3024386680;3024386681;3024386687;3024386683;3024302860;
3,"Fri, 24 Apr 2015 17:25:00 -0400",Today&#39;s Harvest,Frozen vegetables,Listeria monocytogenes,"Greystone Foods, LLC",http://www.fda.gov/Safety/Recalls/ucm444548.htm,,,,
4,"Fri, 24 Apr 2015 11:41:00 -0400",JeniÛªs,"Ice creams, frozen yogurts, sorbets, and ice cream sandwiches",Listeria monocytogenes,Listeria monocytogenes,http://www.fda.gov/Safety/Recalls/ucm444451.htm,,,,
5,"Thu, 23 Apr 2015 00:00:00 -0400","Fresh Frozen, Jamba At Home",Frozen vegetables and smoothie kits,Listeria monocytogenes,"Inventure Foods, Inc.",http://www.fda.gov/Safety/Recalls/ucm444311.htm,,"086069200001,;086069500002,;086069200100,;086069500101,;086069200209,;086069500200,;086069203408,;086069503409,;086069200308,;086069500309,;086069200407,;086069500408,;086069200414,;086069500415,;086069200506,;086069500507,;086069200605,;086069200056,;086069200162,;086069200612,;086069500606,;086069202906,;086069502907,;086069200421,;086069200322,;086069200704,;086069502402,;086069203507,;086069200759,;086069500750,;086069201008,;086069501009,;086069202005,;086069502501,;086069201022,;086069501023,;086069203002,;086069503003,;086069202708,;086069203103,;086069205105,;086069205006,;086069202951,;086069203552,;086069201404,;086069501405,;086069201411,;086069250716,;086069250402,;086069250501,;086069250600,;086069250907,;086069500804,;086069200803,;086069200148,;086069200117,;086069500118,;086069203309,;086069201503,;086069201602,;086069212707,;086069202807,;086069202852,;086069204252,;086069204009,;086069204054,;086069204320,;086069204306,;086069201701,;086069101803,;086069102602,;086069101902,;086069105009,;086069102305,;086069201206,;086069201121,;086069502655,;086069950159,;086069950203,;086069950401,;086069112007,;086069112106,;086069112304,;086069112601,;086069112700,;086069112755,;086069112809,;086069112908,;086069200018,;086069200124,;086069200216,;086069203415,;086069200438,;086069200513,;086069200063,;086069200636,;086069200711,;086069203514,;086069200766,;086069201015,;086069203019,;086069105306,;086069202968,;086069203569,;086069201428,;086069250709,;086069200810,;086069200131,;086069201510,;086069204313,;086069212714,;086069250419,;086069250518,;086069250617,;086069250914,;884038850987,;884038851007,;884038850994,;884038851687,;884038851694,;884038851021,;884038851670,;884038851663,;","B00WIUEY2U,;B01GINQDRG,;B003AB6KI2,;B01A9NISOW,;B00I5RHCTM,;B0019MT9BO,;B00WIUEME0,;B00CYBZ080,;B004KT7UQY,;B00U1I908Y,;B00O4K9OJA,;B0069V9QPO,;B001EC1Z6Q,;B004D1H9CY,;B00WIUCNVO,;B00CF3QGNA,;B00WIUA3AW,;B01A9Q30NS,;B0069VA6DA,;B00UTZPRHC,;B003U24WHC,;B00O4JVXGI,;B002AN1GXA,;B00I5RGK9A,;B009GOVCYE,;B014IPCVEK,;B01A9QKYIC,;B006BU7WU4,;B00L7TDS4I,;B004D1H442,;B00LE14P3W,;B00PZ4F3US,;B00YH94BP0,;B01A9T40CU,;B003V2ETW4,;B00UTZE5SY,;B00XUOF0HQ,;B00F3IK23Y,;B00GGD0UGE,;B00J6WCAE2,;B004UOP5FW,;B005UP2N2I,;B001A78DT2,;B00T6XRNNE,;B0075GLNGW,;B010E3TG3O,;B002DN1N12,;B00SM2LL60,;B019RSVJ5A,;B001A72TY2,;B00T9N3O52,;B01E4J7G1I,;B0069V9YJW,;B0047QFIK0,;B00MECJLWU,;B00EVAHNV4,;B0040WBIAK,;B015CMFVGI,;B00D077NQO,;B00J6WCCQI,;B00O4K90O4,;B00I5RHS6E,;B0069VBSB4,;B002YFCU02,;B001F29GXE,;B003YRHN8I,;B001PM9Y6I,;B004UOO31O,;B004UONRIO,;B000YPQA1O,;B004UOO2R4,;B00FSVTFYI,;B013VXVJ98,;B000F6Y668,;B0179PQCE6,;B003V2ID8A,;B00I5RIA7A,;B01AALWUQU,;B008OG9IU0,;B002G7IIMC,;B00I5RGHNY,;B0019LEY9C,;B008OTIAOM,;B019RSXUJI,;B00UTZFX9O,;B019RSWHPQ,;UPCNOTFOUND,;B008X6AUL2,;B0069WFY5E,;B00UIPRQ5Y,;B0069VFAJK,;B00CYFH5D4,;B013VX7OCY,;B001LZ93HO,;B015Q434D4,;B00426AQCK,;B003V2EU0A,;B01A9IV54W,;B0069V9GA4,;B00YF2KDIS,;B000YPO12O,;B010T63X4O,;B00I5RHL1Q,;B00O4I0UO0,;UPCNOTFOUND,;B009FH0RX4,;B0037JV3O8,;B000JWH156,;B0019MNKHS,;B000YPMFS6,;B00GUOSK8O,;B001A74PBC,;B01AS888R0,;B01ARVMOQ4,;B00PG51FGM,;B010RFT71K,;B013XNF9ZG,;UPCNOTFOUND,;B00CHU04UW,;B019PUX24G,;B01JFN5KPW,;UPCNOTFOUND,;B01HBXFV4I,;",086069200001;086069500002;086069200100;086069500101;086069200209;086069500200;086069203408;086069503409;086069200308;086069500309;086069200407;086069500408;086069200414;086069500415;086069200506;086069500507;086069200605;086069200056;086069200162;086069200612;086069500606;086069202906;086069502907;086069200421;086069200322;086069200704;086069502402;086069203507;086069200759;086069500750;086069201008;086069501009;086069202005;086069502501;086069201022;086069501023;086069203002;086069503003;086069202708;086069203103;086069205105;086069205006;086069202951;086069203552;086069201404;086069501405;086069201411;086069250716;086069250402;086069250501;086069250600;086069250907;086069500804;086069200803;086069200148;086069200117;086069500118;086069203309;086069201503;086069201602;086069212707;086069202807;086069202852;086069204252;086069204009;086069204054;086069204320;086069204306;086069201701;086069101803;086069102602;086069101902;086069105009;086069102305;086069201206;086069201121;086069502655;086069950159;086069950203;086069950401;086069112007;086069112106;086069112304;086069112601;086069112700;086069112755;086069112809;086069112908;086069200018;086069200124;086069200216;086069203415;086069200438;086069200513;086069200063;086069200636;086069200711;086069203514;086069200766;086069201015;086069203019;086069105306;086069202968;086069203569;086069201428;086069250709;086069200810;086069200131;086069201510;086069204313;086069212714;086069250419;086069250518;086069250617;086069250914;884038850987;884038851007;884038850994;884038851687;884038851694;884038851021;884038851670;884038851663;
6,"Thu, 23 Apr 2015 00:00:00 -0400",Mylan,"Gemcitabine, Carboplatin, Methotrexate, and Cytarabine",Presence of particulate matter,Mylan Pharmaceuticals Inc.,http://www.fda.gov/Safety/Recalls/ucm444498.htm,,,,
7,"Thu, 23 Apr 2015 00:00:00 -0400","Hospira, Inc.","Preservative-Free Bupivacaine HCl Injection, USP",Iron oxide particles,"Hospira, Inc.",http://www.fda.gov/Safety/Recalls/ucm444356.htm,,,,
8,"Thu, 23 Apr 2015 00:00:00 -0400",Starbucks,Cookies,Undeclared milk,Sweet Sam&#39;s Baking Company,http://www.fda.gov/Safety/Recalls/ucm444463.htm,,"833282000495,;","B00Y7A847K,;",833282000495;
9,"Wed, 22 Apr 2015 19:15:00 -0400",Ossie&#39;s,"Pickled Lox, Herring in sour cream",Undeclared milk,SM Fish Corp.,http://www.fda.gov/Safety/Recalls/ucm444104.htm,http://www.fda.gov/Safety/Recalls/ucm444105.htm,"739885114174,;739885114136,;","B019RSXQD8,;B00JUQRGFM,;",739885114174;739885114136;
10,"Wed, 22 Apr 2015 18:56:00 -0400",Ossie&#39;s,Pickled Lox &amp; Cream,Undeclared eggs,SM Fish Corp.,http://www.fda.gov/Safety/Recalls/ucm444100.htm,http://www.fda.gov/Safety/Recalls/ucm444101.htm,"739885104113,;","UPCNOTFOUND,;",739885104113;
11,"Wed, 22 Apr 2015 12:41:00 -0400",Mucinex Fast-Max,Mucinex Fast-Max,"Incorrect labeling - Undeclared levels of Acetaminophen, Dextromethorphan, Guaifenesin, Phenylephrine and/or Diphenhydramine",RB (formerly Reckitt Benckiser),http://www.fda.gov/Safety/Recalls/ucm444028.htm,,,,
12,"Wed, 22 Apr 2015 00:00:00 -0400",Nylabone,Chew bones,Salmonella,"TFH Publications, Inc./Nylabone Products",http://www.fda.gov/Safety/Recalls/ucm444560.htm,,"018214812913,;018214812913,;","B0002DGL26,;B0002DGL26,;",018214812913;018214812913;
