,Recall.Number,asin,upc
0,F-1252-2014,B00B0476HA,030000055885
1,F-0440-2016,B00CQABEQG,810291001002
2,F-1365-2014,B00HKIBDYC,708953602028
3,F-0503-2016,B004FUHGWQ,651538067081
4,F-0507-2016,B001HTIVX6,651538067012
5,F-0948-2013,B00HMUISSW,620133006009
6,F-0949-2013,B00HMUISSW,620133006009
7,F-0956-2015,B000H23Z1C,072396100008
8,F-0958-2015,B000H2998U,071092000698
9,F-1195-2015,B0027YUN9K,859888000400
10,F-0985-2013,B000DZDJ0K,093709300106
11,F-0986-2013,B00CTJ2710,093709300502
12,F-1224-2015,B007WP3J8G,853152100612
13,F-1539-2014,B00FIWCUOO,073366202500
14,F-1307-2015,B001HTJ2BQ,041313024338
15,F-1299-2015,B0028MDH30,047281402000
16,F-1562-2014,B004V6A9SC,020662003539
17,F-0636-2016,B004OEYC3Y,896547002306
18,F-1134-2013,B00CFQNVC6,038000209406
19,F-1068-2013,B008QPAH40,044000031947
20,F-1139-2013,B00G6KGXAE,074823000219
21,F-1209-2013,B003O36S9W,691535453012
22,F-0803-2016,B00EN0ZLK2,783665777776
23,F-1870-2015,B0029JX426,886002550534
24,F-1920-2015,B00KRFLH8C,692752105005
25,F-1921-2015,B00KRFLDR2,692752105029
26,F-1955-2015,B000PXZZQG,021000658831
27,F-2023-2015,B003T07T7U,033844005160
28,F-2023-2015,B00451XODA,033844000028
29,F-1286-2016,B00FF0SBX8,014113913362
30,F-1287-2016,B0042DIZIU,014113911863
31,F-1287-2016,B00CK7SZN0,014113910088
32,F-1287-2016,B0042DIZIU,014113911856
33,F-1288-2016,B004HZFASG,014113910125
34,F-1289-2016,B00DB55FVA,014113913331
35,F-1289-2016,B00DB55FVA,014113913348
36,F-1318-2016,B00IVT3ZHW,819898011032
37,F-1318-2016,B00IVT3ZHW,819898011032
38,F-2153-2015,B0012690UC,078006000102
39,F-2156-2015,B000FDCVOK,608623000683
40,F-2166-2015,B006DVPZSW,078006020018
41,F-2188-2015,B001M073SO,041331037761
42,F-2188-2015,B001GVISNS,041331037792
43,F-2188-2015,B001M073SO,041331037730
44,F-2188-2015,B008BRLNAA,041331037822
45,F-2189-2015,B0005YWXQU,041331037846
46,F-2190-2015,B000HQKO1W,041331037815
47,F-2191-2015,B005L9175C,041331037907
48,F-2364-2015,B001VNGMDE,089836003522
49,F-2367-2015,B000UYC3CO,089836027801
50,F-2368-2015,B001VNO3B2,089836028693
51,F-2370-2015,B00CHTYN64,089836185068
52,F-2371-2015,B0052P1PPW,089836188403
53,F-2371-2015,B000UYC36U,089836029263
54,F-2373-2015,B001XWN3IA,089836157102
55,F-2375-2015,B000WR8UDU,089836185341
56,F-2377-2015,B009OAIWMA,089836188366
