"asin","reviewText","overall","summary","unixReviewTime","initiation_date"
"B0000537KC","Tastes great. A little sweet and lower in protein than Think Bars, but this bar is good!",5,"A Real Treat",1274918400,"2009-02-04"
"B0000537KC","Updated review on 06/23/2013 which is now only 2 stars:OMG, why in the heck did they change their recipe? The chocolate fudge brownie bar that I once was addicted to is no more. What they now sell as ""Chocolate Fudge Brownie"" are so hard now, the bars can serve as a door stop or as another reviewer wrote, as a brick. Yes, and the taste has changed for the worst. Why did they change something that wasn't broken is beyond me. I still order these, but to be able to tolerate the taste, I put a Oskri Coconut Bar on top, cut the bars in half, and then eat the 2 bars together, but it's half of both to keep the caloric amount the same. I actually enjoy it this way, but still am disappointed by the hardness of the Genisoy bar. The Oskri Coconut Bar is so soft (and yummy) that it helps mask the hardness of the Genisoy Chocolate Fudge Brownie Bar.All I can say is ""Genisoy, please fire the idiot who convinced you that this new formula is better and go back to the old recipe to win back your faithful customers.""In comparison, I kept my old review so those of you who are wondering what we are talking about as far as this change is concerned can understand the issue better.Old Review from 2/10/2012 which was 5 stars: Title was ""I could become an addict""I went searching high and low for a replacement chocolate brownie bar when my taste for Clif chocolate brownie bar suddenly changed (I had no other taste changes for any other food and the manufacturer swore they made no changes). I bought one of every type of chocolate protein bar and literally Genisoy was the last one I had to taste. I've had Luna bars and don't like their taste at all. My first byte into the Genisoy chocolate brownie had an after taste of vitamins, but after the first bar, that taste was gone. It was delicious and I love the fudgey, soft texture. I had finally found my replacement protein chocolate bar after weeks of searching all the local organic markets.",2,"6/23/2013: Update to old review... What the heck were they thinking?!?!",1328832000,"2009-02-04"
"B0000537KC","Genisoy bars are a great meal replacement.  They are more filling than any other bar we have tried.  I would highly recommend them to friends and family.  In fact my daughter has also started buying them.",5,"Great",1395014400,"2009-02-04"
"B0000537KC","They are just delicious, and a great way to get in some protein if your day is turning out to be deficient in it.  A good emergency ration kind of thing.",5,"Love Genisoy bars!",1269561600,"2009-02-04"
"B0000537KC","The bars arrived as plan and are very fresh. I will difinitely order this product again on Amazon. Thanks again.",5,"Excellent",1333929600,"2009-02-04"
"B0000537KC","The Genisoy protein bars are thin, chewy protein bars. The chocolate fudge brownie is one of the best flavors from Genisoy. It does taste like soy but it is sweet enough to make you feel like you're eating a treat. The texture is similar to the original Power Bar but definitely tastes better.",5,"Great tasting protein bar",1297036800,"2009-02-04"
"B0000537KC","bought these suckers a few months ago & have been hooked, love the taste & they're soy.by far this is my fav flavor.:)",5,"addicting!",1395014400,"2009-02-04"
"B0000537KC","These bars are soooooooooooooo good I eat too many of them! Great for meal replacements or snacks. But be warned, they are addicting!",5,"Great",1402876800,"2009-02-04"
"B0000537KC","I have no idea what all those people are saying but these bars don't taste that great...it is full of sugar and high fructose corn syrup. I much prefer luna bars or the south beach meal bars--which all taste tons better and are healthier.",2,"not that great",1169856000,"2009-02-04"
"B0000537KC","I was excited to repurchased these bars after I took 2 years off from eating them. I have two children under 18 months old and was pregnant A LOT and the dr said to stay away from soy based products while pregnant. Anyway, when they arrived I was surprised that the packaging was different (not as shown here) and that the bar is a new recipe and shape. They are more square like a balance bar, a little less in calories (maybe by 10 or so) and the taste IS TERRIBLE!!! Almost the consistency of an Atkins bar or some other low carb tasting crap (even though these are not low carb) I only wish I read the one reviewer warning of this new taste before I bought these. What a waste of $13. :-(",1,"New recipe tastes like crap",1361404800,"2009-02-04"
"B0000537KC","I used to really like this product.  It kept me from getting hungry for at least 6 hours.However, this shipment seems to be melted and stuck to the wrapper.  Even though it is edible,it makes a mess just getting it out of the wrapper.  Maybe that is why I could no longer findit in the grocery stores.",3,"not the same",1347494400,"2009-02-04"
"B0000537KC","At one time these bars were my favorite.  Tasty and soft.  Now they are suitable to be used as paving stones.  I have purchased from three or four different Amazon suppliers.  Each time the result has been the same - hard and unpleasant to chew.  I have stopped purchasing the Genisoy Chocolate Fudge Brownies and now purchase and eat Cliff Bars exclusively.  A shame, but life goes on.  Even without you Genisoy.",2,"Goodbye old friend",1344729600,"2009-02-04"
"B0000537KC","Pleasantly surprised how tasty these bars are!  They're chewy and moist and filling!  Love them and would definitely recommend them!",5,"Yummy!",1361491200,"2009-02-04"
"B0000537KC","This used to be one of my favorite bars, but not any longer.  Earlier this year, think around the April 2012 time frame, they changed the ""model"" and made it a lot more ""hard"" and less tasty.  They used to be much softer and tastier.  In fact the last set of bars before they made this change were absolutely great and hence this change has been harder to take. Hope they change it back to what it used to be.",3,"Less good than before",1354406400,"2009-02-04"
"B0000537KC","The bars are good, however seem to be very hard. Just a little too hard for my taste. They taste good and have good protein. I will try a different flavor next time I order. I would recommend to anyone that enjoys something very chewy.",3,"Very very chewy, and tastes good.",1356566400,"2009-02-04"
"B0000537KC","The package was warm after being inside of a mail truck all day and thus the coating of chocolate melted.",4,"great product but difficult to purchase in the summer",1154476800,"2009-02-04"
"B0000537KC","The reviewer below who states these have high fructose corn syrup is wrong.  I'm looking at the ingredients list for the Chocolate Fudge bar and it lists corn syrup, but not the notorious high fructose variety.  It's a good, tasty snack and a good way to get soy protein on the go.",5,"Great as a snack",1180915200,"2009-02-04"
