id,word,coefficient
6986,plain,0.643978
1832,coconut,0.609174
4773,item,0.556434
9499,thumb,0.486011
4564,in,0.484629
6121,nat,0.477798
3498,food,0.46939
4597,individ,0.428531
3108,evalu,0.411243
9805,two,0.400804
2101,costco,0.769557
7406,quino,0.742111
2419,defin,0.733503
7407,quinoa,0.636938
2045,cook,0.574154
7889,run,0.512086
10264,wash,0.417549
10038,valu,0.416317
3498,food,0.379617
8850,stil,0.374893
1996,consist,0.667266
5834,milk,0.657472
10284,we,0.620875
1346,can,0.54884
2176,cream,0.522619
1083,brand,0.490847
2465,dent,0.461844
1832,coconut,0.449699
3115,every,0.437067
5619,market,0.434126
600,baby,0.996328
8139,sel,0.629927
4989,kid,0.598428
5419,lov,0.588638
6473,only,0.529569
3626,fruit,0.495068
6086,my,0.493271
8222,she,0.473144
7111,pouch,0.469734
2347,daught,0.437825
600,baby,0.723933
4038,grocery,0.609454
8569,son,0.494482
938,blend,0.479231
4989,kid,0.469853
8850,stil,0.464992
6444,old,0.447676
5331,list,0.418933
6929,pict,0.40576
6086,my,0.403557
6689,pancak,0.79927
6682,pamelas,0.649828
4887,joyce,0.617225
10584,yes,0.617225
7238,product,0.5338
3582,freez,0.508464
5149,larg,0.483808
3848,glut,0.436407
4000,great,0.423721
7487,real,0.423318
4197,hazelnut,0.681813
6344,nut,0.490479
6462,on,0.443809
8706,spoon,0.405532
6346,nutella,0.399543
6777,pay,0.397677
3142,excel,0.344927
3809,girl,0.33919
8574,soo,0.325162
5886,mislead,0.32378
6739,party,0.456949
4078,gum,0.398979
5789,mex,0.361307
7398,quesodilla,0.361307
9199,taco,0.356558
4058,guacamol,0.352385
6032,msg,0.349942
9410,there,0.321707
7362,put,0.309136
8647,spearmint,0.278356
6433,oi,0.961564
1260,busy,0.729098
5946,mom,0.667707
1261,but,0.651917
226,almond,0.642181
2231,crunchy,0.564158
8961,stuff,0.50704
10456,wish,0.504396
2808,dry,0.500426
5580,mapl,0.485255
1519,cer,0.643823
613,bacon,0.59172
8618,soy,0.496911
5555,man,0.375558
3241,fajita,0.366863
2874,eat,0.364797
8670,spic,0.35181
5580,mapl,0.348224
5899,mix,0.333764
3819,glad,0.311509
1633,chil,0.660121
9699,tri,0.473319
1519,cer,0.461092
2649,dislik,0.455082
7344,purchas,0.422993
1500,celery,0.41943
1549,chang,0.389249
2036,conveny,0.386536
6493,opt,0.386505
694,bas,0.377399
6032,msg,1
3145,excellent,0.74523
8606,sourc,0.537998
4779,its,0.531902
2013,contain,0.524593
7279,protein,0.520588
3360,fin,0.45066
1062,boy,0.41268
3716,garl,0.406305
63,ad,0.385837
8723,spread,0.465632
6794,peanut,0.423991
6344,nut,0.349848
3279,fat,0.348197
2445,delicy,0.343511
10639,yummy,0.289524
9523,tim,0.26843
5702,mean,0.267854
837,better,0.242513
9727,tru,0.241437
6709,paprik,0.81807
6515,org,0.729487
4582,incred,0.651411
2645,dish,0.634638
1261,but,0.465584
6794,peanut,0.431389
7364,puts,0.388632
8684,spin,0.388632
6882,pesto,0.375296
7969,sandwich,0.343811
7111,pouch,0.38317
2347,daught,0.368011
600,baby,0.363433
6086,my,0.362551
8606,sourc,0.308532
9265,taste,0.305324
517,astronaut,0.291228
9514,tidy,0.291228
10278,watery,0.268642
10114,very,0.268244
4844,jerky,0.97467
5261,lic,0.764621
1633,chil,0.744819
8551,some,0.514372
5605,marinad,0.509972
5530,mak,0.439006
10586,yet,0.436447
3342,fig,0.390573
5342,liv,0.34388
911,black,0.335236
4762,it,0.513479
8362,siz,0.486057
8575,soon,0.435465
3804,gingerbread,0.435182
5940,molass,0.414538
6378,oatm,0.396393
5951,mon,0.394277
630,bak,0.379725
3360,fin,0.357671
7889,run,0.353671
6929,pict,0.873416
7437,ram,0.479302
1519,cer,0.461457
7755,ric,0.386548
8575,soon,0.35086
2115,couldnt,0.330907
386,anywh,0.325157
1887,com,0.322321
586,awesome,0.321017
4220,healthy,0.306886
3596,friend,0.576301
3626,fruit,0.496235
669,bar,0.40488
1044,bought,0.372935
10061,veg,0.372147
7279,protein,0.2971
6644,pack,0.287082
5446,lucky,0.286845
2128,country,0.279119
2508,dessert,0.270367
2013,contain,0.762052
669,bar,0.596065
1056,bowl,0.459251
6444,old,0.451831
4139,handy,0.437437
3866,go,0.418665
7016,plum,0.414938
5779,mess,0.398847
2874,eat,0.391601
2445,delicy,0.383769
