,DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK,upcs,asins
0,"Fri, 01 May 2015 20:41:00 -0400","Sun Rich, Subway","Apple slices, apple slices with Dip, Sunshine Salad.",Listeria monocytogenes,Sun Rich Fresh Foods,http://www.fda.gov/Safety/Recalls/ucm445391.htm,"
			http://www.fda.gov/Safety/Recalls/ucm445392.htm
	",060243004647;060243004586;060243004531;060243005088;060243012932;060243012963,B00TIYSSTE;B00BTGKHC0;B01785QBMU;B00P150LIA;B00D4KXTAG
1,"Tue, 28 Apr 2015 00:00:00 -0400",Hy-Vee,Fresh Pasta Salad,Listeria monocytogenes,"Hy-Vee, Inc.",http://www.fda.gov/Safety/Recalls/ucm444946.htm,	,,
2,"Mon, 27 Apr 2015 17:32:00 -0400",Good Sense,Raw Pine Nuts,Salmonella,"Waymouth Farms, Inc.",http://www.fda.gov/Safety/Recalls/ucm444781.htm,"
			http://www.fda.gov/Safety/Recalls/ucm444782.htm
	",3024350799;3024386680;3024386681;3024386687;3024386683;3024302860,B001D0AI62
3,"Fri, 24 Apr 2015 17:25:00 -0400",Todays Harvest,Frozen vegetables,Listeria monocytogenes,"Greystone Foods, LLC",http://www.fda.gov/Safety/Recalls/ucm444548.htm,	,,
4,"Fri, 24 Apr 2015 11:41:00 -0400",Jenis,"Ice creams, frozen yogurts, sorbets, and ice cream sandwiches",Listeria monocytogenes,Listeria monocytogenes,http://www.fda.gov/Safety/Recalls/ucm444451.htm,	,,
5,"Thu, 23 Apr 2015 00:00:00 -0400","Fresh Frozen, Jamba At Home",Frozen vegetables and smoothie kits,Listeria monocytogenes,"Inventure Foods, Inc.",http://www.fda.gov/Safety/Recalls/ucm444311.htm,	,086069200001;086069500002;086069200100;086069500101;086069200209;086069500200;086069203408;086069503409;086069200308;086069500309;086069200407;086069500408;086069200414;086069500415;086069200506;086069500507;086069200605;086069200056;086069200162;086069200612;086069500606;086069202906;086069502907;086069200421;086069200322;086069200704;086069502402;086069203507;086069200759;086069500750;086069201008;086069501009;086069202005;086069502501;086069201022;086069501023;086069203002;086069503003;086069202708;086069203103;086069205105;086069205006;086069202951;086069203552;086069201404;086069501405;086069201411;086069250716;086069250402;086069250501;086069250600;086069250907;086069500804;086069200803;086069200148;086069200117;086069500118;086069203309;086069201503;086069201602;086069212707;086069202807;086069202852;086069204252;086069204009;086069204054;086069204320;086069204306;086069201701;086069101803;086069102602;086069101902;086069105009;086069102305;086069201206;086069201121;086069502655;086069950159;086069950203;086069950401;086069112007;086069112106;086069112304;086069112601;086069112700;086069112755;086069112809;086069112908;086069200018;086069200124;086069200216;086069203415;086069200438;086069200513;086069200063;086069200636;086069200711;086069203514;086069200766;086069201015;086069203019;086069105306;086069202968;086069203569;086069201428;086069250709;086069200810;086069200131;086069201510;086069204313;086069212714;086069250419;086069250518;086069250617;086069250914;884038850987;884038851007;884038850994;884038851687;884038851694;884038851021;884038851670;884038851663,B00FSVTFYI;B00MECJLWU;B003AB6KI2;B00O4K90O4;B00PG51FGM;B00UTZPRHC;B003U24WHC;B00L7TDS4I;B00WIUCNVO;B008OTIAOM;B000YPQA1O;B000F6Y668;B004UOP5FW;B01AALWUQU;B01AS888R0;B013VXVJ98;B019RSXUJI;B0179PQCE6;B00D077NQO;B00UTZFX9O;B0047QFIK0;B000YPMFS6;B01GINQDRG;B004UONRIO;B000JWH156;B0069V9QPO;B00I5RIA7A;B000YPO12O;B00LE14P3W;B00CYFH5D4;B002YFCU02;B001PM9Y6I;B00I5RHCTM;B004UOO2R4;B00J6WCCQI;B00O4K9OJA;B01A9NISOW;B010T63X4O;B002AN1GXA;B00WIUEY2U;B0069WFY5E;B001EC1Z6Q;B0019LEY9C;B01A9T40CU;B008OG9IU0;B00GUOSK8O;B003V2EU0A;B004UOO31O;B019RSVJ5A;B0069VA6DA;B013VX7OCY;B00I5RHL1Q;B004D1H9CY;B00426AQCK;B001A78DT2;B01A9Q30NS;B019PUX24G;B00T6XRNNE;B00T9N3O52;B004D1H442;B006BU7WU4;B0069V9GA4;B00U1I908Y;B0019MNKHS;B0069V9YJW;B00YH94BP0;B00I5RHS6E;B003V2ETW4;B001A72TY2;B0075GLNGW;B01ARVMOQ4;B00O4I0UO0;B00UTZE5SY;B0019MT9BO;B014IPCVEK;B002G7IIMC;B00EVAHNV4;B00WIUA3AW;B01E4J7G1I;B00UIPRQ5Y;B00CF3QGNA;B003V2ID8A;B001F29GXE;B00CHU04UW;B0040WBIAK;B008X6AUL2;B015Q434D4;B00J6WCAE2;B00F3IK23Y;B005UP2N2I;B01A9QKYIC;B010RFT71K;B00CYBZ080;B00GGD0UGE;B00I5RGHNY;B0069VFAJK;B00WIUEME0;B009GOVCYE;B00YF2KDIS;B00O4JVXGI;B003YRHN8I;B002DN1N12;B0037JV3O8;B00SM2LL60;B019RSWHPQ;B010E3TG3O;B001A74PBC;B009FH0RX4;B0069VBSB4;B00I5RGK9A;B015CMFVGI;B004KT7UQY;B00XUOF0HQ;B001LZ93HO;B00PZ4F3US
6,"Thu, 23 Apr 2015 00:00:00 -0400",Mylan,"Gemcitabine, Carboplatin, Methotrexate, and Cytarabine",Presence of particulate matter,Mylan Pharmaceuticals Inc.,http://www.fda.gov/Safety/Recalls/ucm444498.htm,	,,
7,"Thu, 23 Apr 2015 00:00:00 -0400","Hospira, Inc.","Preservative-Free Bupivacaine HCl Injection, USP",Iron oxide particles,"Hospira, Inc.",http://www.fda.gov/Safety/Recalls/ucm444356.htm,	,,
8,"Thu, 23 Apr 2015 00:00:00 -0400",Starbucks,Cookies,Undeclared milk,Sweet Sams Baking Company,http://www.fda.gov/Safety/Recalls/ucm444463.htm,	,833282000495,B00Y7A847K
9,"Wed, 22 Apr 2015 19:15:00 -0400",Ossies,"Pickled Lox, Herring in sour cream",Undeclared milk,SM Fish Corp.,http://www.fda.gov/Safety/Recalls/ucm444104.htm,"
			http://www.fda.gov/Safety/Recalls/ucm444105.htm
	",739885114174;739885114136,B00JUQRGFM;B019RSXQD8
